Original_Angle,position,angle,error
90,3,93.23535557597516,-3.235355575975163
90,3,94.30294842534113,-4.302948425341128
90,3,90.30797485170129,-0.3079748517012888
90,3,90.88915014092788,-0.8891501409278817
90,3,91.29776278300035,-1.2977627830003513
90,3,91.48793655728342,-1.487936557283419
90,3,91.55427143321435,-1.5542714332143532
90,3,90.6793062080106,-0.6793062080106012
90,3,92.79749931761202,-2.797499317612022
90,3,91.08089089734554,-1.0808908973455402
90,3,93.05895361175908,-3.0589536117590796
90,3,90.71367762555315,-0.7136776255531458
90,3,91.14077784823621,-1.1407778482362119
90,3,91.41325507732174,-1.413255077321736
90,3,90.66396160245623,-0.6639616024562258
90,3,91.75833077268851,-1.7583307726885096
90,3,97.41136817190157,-7.411368171901572
90,3,93.48091905279696,-3.4809190527969633
90,3,92.41253610154422,-2.4125361015442195
90,3,90.88214829732448,-0.882148297324477
90,3,91.87295835520192,-1.8729583552019164
90,3,91.45730146890715,-1.457301468907147
90,3,93.40781014450127,-3.407810144501269
90,3,90.85756415042623,-0.8575641504262279
90,3,91.68421372894134,-1.6842137289413444
90,3,90.66396160245623,-0.6639616024562258
90,3,90.69812439368701,-0.6981243936870101
90,3,91.23763783330106,-1.237637833301065
90,3,91.59717630803101,-1.5971763080310097
90,3,91.53623896714423,-1.5362389671442287
90,3,90.95052349632955,-0.9505234963295521
90,3,91.62570320839892,-1.6257032083989174
90,3,92.56083293178398,-2.5608329317839775
90,3,92.16338837729418,-2.163388377294183
90,3,90.79787819031547,-0.7978781903154726
90,3,90.62716988551493,-0.627169885514931
90,3,91.57176960848889,-1.5717696084888928
90,3,92.74115567379303,-2.741155673793031
90,3,92.46612190279352,-2.4661219027935175
90,3,90.4729202126143,-0.47292021261429795
90,3,91.3567959503163,-1.3567959503162967
90,3,91.07935977057735,-1.079359770577355
90,3,90.78668906463484,-0.7866890646348423
90,3,95.16805464626546,-5.16805464626546
90,3,91.9249546334322,-1.9249546334321934
90,3,94.50234299859868,-4.502342998598678
90,3,90.60007899852113,-0.600078998521127
90,3,91.61605416645419,-1.616054166454191
90,3,92.6464869819507,-2.6464869819507015
90,3,92.78641675232437,-2.786416752324371
90,3,90.51761676306901,-0.5176167630690145
90,3,92.55739657472405,-2.557396574724052
90,3,92.79135582763467,-2.791355827634675
90,3,93.0906468677808,-3.090646867780805
90,3,91.91507659968332,-1.9150765996833172
90,3,93.60910000037305,-3.609100000373047
90,3,92.99196754097305,-2.99196754097305
90,3,91.37073325654163,-1.3707332565416266
90,3,91.51000060664201,-1.5100006066420093
90,3,93.70233358356413,-3.7023335835641262
90,3,91.10464212210175,-1.104642122101751
90,3,91.11473816550699,-1.1147381655069921
90,3,92.8077505213189,-2.8077505213188942
90,3,90.62403711984182,-0.624037119841816
90,3,92.00446179165023,-2.004461791650229
90,3,91.90293934737718,-1.9029393473771847
90,3,91.76715706882078,-1.7671570688207794
90,3,91.24115271758829,-1.2411527175882924
90,3,94.0874697329176,-4.087469732917597
90,3,95.61948400951847,-5.619484009518473
90,3,93.10164504802093,-3.101645048020927
90,3,93.22560059284224,-3.225600592842241
90,3,97.16320963429223,-7.16320963429223
90,3,90.82220385399042,-0.8222038539904162
90,3,93.60971766802537,-3.609717668025368
90,3,92.00275397454837,-2.0027539745483693
90,3,91.7551381669035,-1.7551381669035067
90,3,94.69882694004133,-4.698826940041329
90,3,91.8163941868123,-1.8163941868123032
90,3,92.47216128728259,-2.4721612872825887
90,3,93.38641768158342,-3.386417681583424
90,3,92.27843827063029,-2.2784382706302893
90,3,92.32958750980744,-2.329587509807439
90,3,91.60693079980078,-1.6069307998007787
90,3,94.49977731670636,-4.499777316706357
90,3,95.6896620680577,-5.6896620680577
90,3,93.4874123861803,-3.4874123861802957
90,3,92.2954982124015,-2.2954982124014975
90,3,92.39585283128687,-2.3958528312868737
90,3,96.3034339752243,-6.303433975224294
90,3,97.28622470132603,-7.286224701326034
90,3,98.12480480568028,-8.124804805680284
90,3,96.30012988556409,-6.30012988556409
90,3,96.30012988556409,-6.30012988556409
90,3,97.74721731304489,-7.747217313044885
90,3,95.8578806376683,-5.857880637668302
90,3,93.61580757835313,-3.6158075783531274
90,3,94.90172753494541,-4.901727534945408
90,3,91.29406364282194,-1.2940636428219392
90,3,93.58139534290224,-3.5813953429022405
90,3,93.91412821364592,-3.914128213645924
90,3,93.04761503403094,-3.0476150340309403
90,3,92.7694555216839,-2.769455521683895
90,3,93.21233951407716,-3.212339514077158
90,3,90.5028720379201,-0.502872037920099
90,3,91.06883527756598,-1.0688352775659808
90,3,94.91699795656139,-4.916997956561389
90,3,92.84503314681747,-2.845033146817471
90,3,91.63711731282378,-1.6371173128237757
90,3,90.51335432661475,-0.5133543266147456
90,3,90.6694727383695,-0.6694727383695067
90,3,94.00703333090006,-4.007033330900057
90,3,91.66926078986319,-1.6692607898631877
90,3,92.57609770108836,-2.576097701088358
90,3,93.31193542247152,-3.311935422471521
90,3,90.0487484231679,-0.04874842316789341
90,3,91.05806635609736,-1.0580663560973562
90,3,91.62520443524888,-1.6252044352488753
