up1,up2,up3,up4,down1,down2,down3,down4,lock1,lock2,lock3,lock4,actualAngle
473.6859130859375,18.57672882080078,785.6124267578125,213.82388305664065,742.0772705078125,461.8150024414063,956.7901611328124,590.1746215820312,355.2025146484375,354.41314697265625,403.5194091796875,409.2227783203125,60
180.77186584472656,45.35710144042969,589.4922485351562,366.3650512695313,671.728271484375,474.9373168945313,951.5574951171876,674.3086547851562,46.91213607788086,472.8720703125,93.56661987304688,524.928466796875,45
615.612060546875,0.0,942.522216796875,173.39193725585938,825.9187622070312,474.0127868652344,985.5993041992188,596.8074951171875,526.1068115234375,350.7910461425781,575.856201171875,403.8650207519531,60
610.10009765625,0.0,827.633056640625,70.53651428222656,1229.7139892578125,306.73095703125,1280.0,467.7472534179688,826.0314331054688,239.86883544921875,862.0496215820312,283.64141845703125,45
623.9577026367188,0.0,1049.09326171875,164.7235870361328,868.998046875,478.03167724609375,1221.36083984375,615.0275268554688,480.0950012207031,367.274658203125,518.3760986328125,410.0391845703125,75
500.58251953125,87.94501495361328,804.6290283203125,260.7975769042969,566.496337890625,586.2442016601562,740.0771484375,681.8893432617188,867.4760131835938,413.7776489257813,916.6049194335938,470.4617309570313,90
81.33750915527344,16.947067260742188,418.24853515625,369.6143798828125,520.0604248046875,508.429931640625,980.4610595703124,720.0,25.374605178833008,444.8551330566406,80.76309204101562,502.0974731445313,30
974.2213134765624,1.849937438964844,1280.0,213.18081665039065,1118.5858154296875,552.2600708007812,1279.5924072265625,698.3987426757812,744.0982055664062,412.93359375,788.8611450195312,454.8890380859375,90
525.5297241210938,0.0,867.4205932617188,148.01712036132812,614.7409057617188,451.3951110839844,838.4943237304688,568.17041015625,257.9358215332031,284.9197998046875,313.3619079589844,340.09246826171875,90
437.3612060546875,49.09580993652344,756.0445556640625,400.7391357421875,98.08480834960938,445.4734191894531,452.8047180175781,720.0,723.757568359375,478.4963684082031,742.02001953125,509.3654174804688,45
0.0,0.0,355.3558044433594,112.40144348144533,0.0,573.4727783203125,272.1002197265625,720.0,392.5737609863281,427.5938720703125,413.9401550292969,467.7125244140625,90
565.2147216796875,95.9949188232422,901.777099609375,381.4489135742188,1039.8795166015625,502.5703125,1280.0,720.0,471.0701904296875,548.3054809570312,511.9908447265625,592.2749633789062,45
277.05401611328125,0.0,578.4684448242188,135.75636291503906,442.9232177734375,410.5041198730469,570.6211547851562,524.9801025390625,236.79165649414065,317.4008483886719,284.3553161621094,372.5599060058594,60
1154.5565185546875,0.0,1276.4666748046875,160.87020874023438,646.78173828125,478.7683715820313,822.6072998046875,590.8578491210938,306.3123779296875,366.4368896484375,355.720947265625,419.0115966796875,60
80.66825866699219,13.77777099609375,399.8833618164063,148.57601928710938,217.3565368652344,514.1249389648438,362.2012023925781,618.5538940429688,17.254541397094727,402.4066467285156,71.98385620117188,464.6127014160156,75
415.6388244628906,56.87369537353516,659.8948974609375,287.3597717285156,700.4705200195312,379.0807189941406,840.6937866210938,526.22607421875,379.4626159667969,364.7149963378906,425.5124206542969,410.0721130371094,30
55.53025817871094,6.279319763183594,451.8322143554688,205.15249633789065,0.0,516.017578125,158.14089965820312,657.4024658203125,449.674560546875,442.4599914550781,503.5845336914063,501.893798828125,60
390.2814331054688,0.0,649.7212524414062,104.11892700195312,419.5758361816406,413.0152282714844,560.8102416992188,499.01568603515625,686.0598754882812,295.5871887207031,721.0048217773438,339.1747741699219,75
754.29443359375,0.0,1116.6744384765625,172.11944580078125,844.1744384765625,483.2376708984375,1105.72607421875,586.6026611328125,522.1994018554688,325.473876953125,564.1743774414062,369.9231567382813,90
779.236083984375,0.0,1166.1793212890625,136.134033203125,865.7506713867188,542.14697265625,1165.68115234375,677.97314453125,1263.2252197265625,387.6102600097656,1279.4967041015625,440.5779724121094,90
664.995849609375,18.655014038085938,1028.86279296875,256.13006591796875,956.458740234375,511.8801879882813,1236.770751953125,664.1022338867188,551.2507934570312,399.9966430664063,595.7361450195312,445.25494384765625,65
424.05609130859375,17.656944274902344,731.9461059570312,191.58541870117188,578.22412109375,510.20458984375,707.221923828125,607.598876953125,372.04925537109375,399.1984252929688,424.5997924804688,456.66015625,90
498.19537353515625,107.44920349121094,749.7382202148438,255.19598388671875,622.4949340820312,526.49853515625,771.3388061523438,620.279296875,405.8885192871094,430.6698913574219,442.1669006347656,471.7544250488281,75
322.56903076171875,0.0,646.577880859375,295.6048889160156,480.1029052734375,467.4743347167969,991.8743896484376,683.241455078125,258.82098388671875,355.1473999023437,312.13250732421875,406.3468627929688,30
150.78965759277344,0.0,565.4938354492188,164.06842041015625,230.31353759765625,539.1142578125,485.39495849609375,694.387939453125,563.1931762695312,411.8174743652344,586.2527465820312,449.2874450683594,90
776.0485229492188,0.0,1140.5465087890625,118.87808227539062,927.3427124023438,503.3294067382813,1128.2869873046875,601.7787475585938,715.5960693359375,379.9055480957031,745.2203369140625,416.0769958496094,90
474.8512573242188,0.0,770.0713500976562,126.66682434082033,580.166015625,446.31591796875,746.7816162109375,542.1533203125,383.2882385253906,312.5255126953125,431.4418640136719,367.458251953125,90
582.048828125,3.867225646972656,994.386962890625,223.02685546875,921.0325927734376,455.2962646484375,1198.3079833984375,595.25537109375,481.4553833007813,366.1637573242188,529.7736206054688,414.325439453125,60
432.58154296875,17.34015655517578,801.5989990234375,232.0044860839844,699.8468017578125,503.91607666015625,905.5499267578124,639.0962524414062,307.9025573730469,363.8850708007813,361.4880065917969,422.1272583007813,65
450.2882690429688,37.192474365234375,741.8485717773438,211.17108154296875,492.891845703125,501.15277099609375,673.5665283203125,587.6600952148438,255.4784240722656,317.59051513671875,302.6309509277344,369.12249755859375,90
153.1094970703125,0.0,540.3845825195312,156.14114379882812,221.3265686035156,540.8987426757812,465.7789001464844,693.2222290039062,552.3462524414062,414.84326171875,573.6896362304688,450.3569946289063,90
